analysis_family,model,condition,metric,pairs,status,reason,n_pairs,n_scenarios,mean_delta_pairs,mean_delta_scenarios,median_delta_scenarios,sd_delta_scenarios,iqr_delta_scenarios,ci95_lower,ci95_upper,p_permutation,p_sign_test,wilcoxon_statistic,p_wilcoxon,rank_biserial,p_holm,significant_005,holm_family,run_id
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,A_BASE,severity,P003,COMPUTED,,40,40,0.075,0.075,0.0,0.4743416490252569,0.0,-0.05,0.225,0.5096490350964904,0.5078125,15.0,0.31731050786291415,0.3333333333333333,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,A_BASE,empathy,P003,COMPUTED,,40,40,0.025,0.025,0.0,0.42290206176626033,0.0,-0.1,0.15,1.0,1.0,12.0,0.7054569861112734,0.14285714285714285,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,B_FAIRNESS,severity,P003,COMPUTED,,40,40,0.025,0.025,0.0,0.47971679679598994,0.0,-0.125,0.175,1.0,1.0,20.0,0.7388826803635273,0.1111111111111111,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-4-31b-it,B_FAIRNESS,empathy,P003,COMPUTED,,40,40,0.0,0.0,0.0,0.4529108136578383,0.0,-0.15,0.15,1.0,1.0,18.0,1.0,0.0,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,A_BASE,severity,P003,COMPUTED,,40,40,-0.125,-0.125,0.0,0.515776735638242,0.0,-0.275,0.025,0.23207679232076792,0.2265625,18.0,0.13166801602281422,-0.45454545454545453,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,A_BASE,empathy,P003,COMPUTED,,40,40,0.15,0.15,0.0,0.6621642835894568,0.25,-0.05,0.35,0.23977602239776022,0.3017578125,37.5,0.15729920705028516,0.375,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,B_FAIRNESS,severity,P003,COMPUTED,,40,40,0.05,0.05,0.0,0.5523841101337049,0.0,-0.125,0.225,0.77002299770023,0.7744140625,32.5,0.5637028616507731,0.16666666666666666,1.0,False,PRIMARY_JUDGE_PER_PAIR,
PRIMARY_JUDGE_PER_PAIR,gemma-3n-e4b-it-text,B_FAIRNESS,empathy,P003,COMPUTED,,40,40,0.025,0.025,0.0,0.5767948575466911,0.0,-0.15,0.2,1.0,1.0,42.0,0.7815112949987133,0.07692307692307693,1.0,False,PRIMARY_JUDGE_PER_PAIR,
SECONDARY_ROBUSTNESS_JUDGE,gpt-5.4-2026-03-05,A_BASE,severity,"P001,P002,P003",COMPUTED,,120,40,0.025,0.025,0.0,0.21861386687953438,0.0,-0.04166666666666667,0.09166666666666666,0.5517448255174483,0.4239501953125,42.0,0.46685427082272546,0.2,1.0,False,SECONDARY_ROBUSTNESS_JUDGE,
SECONDARY_ROBUSTNESS_JUDGE,gpt-5.4-2026-03-05,A_BASE,empathy,"P001,P002,P003",COMPUTED,,120,40,-0.05,-0.05,0.0,0.3070862978089291,0.3333333333333333,-0.14166666666666666,0.04999999999999999,0.32156784321567844,0.359283447265625,71.5,0.3198710446933244,-0.24736842105263157,1.0,False,SECONDARY_ROBUSTNESS_JUDGE,
SECONDARY_ROBUSTNESS_JUDGE,gpt-5.4-2026-03-05,B_FAIRNESS,severity,"P001,P002,P003",COMPUTED,,120,40,0.0,0.0,0.0,0.15097027121927942,0.0,-0.049999999999999996,0.04166666666666667,1.0,1.0,18.0,1.0,0.0,1.0,False,SECONDARY_ROBUSTNESS_JUDGE,
SECONDARY_ROBUSTNESS_JUDGE,gpt-5.4-2026-03-05,B_FAIRNESS,empathy,"P001,P002,P003",COMPUTED,,120,40,-0.058333333333333334,-0.058333333333333334,0.0,0.28130242468036804,0.3333333333333333,-0.15,0.025,0.195980401959804,0.5034446716308594,72.0,0.18329155041835987,-0.3142857142857143,1.0,False,SECONDARY_ROBUSTNESS_JUDGE,
SECONDARY_ROBUSTNESS_JUDGE,deepseek-v4-pro,A_BASE,severity,"P001,P002,P003",COMPUTED,,120,40,-0.008333333333333333,-0.008333333333333333,0.0,0.25584339048691573,0.0,-0.08333333333333334,0.06666666666666668,0.873012698730127,1.0,31.0,0.8540760609934533,-0.06060606060606061,1.0,False,SECONDARY_ROBUSTNESS_JUDGE,
SECONDARY_ROBUSTNESS_JUDGE,deepseek-v4-pro,A_BASE,empathy,"P001,P002,P003",COMPUTED,,120,40,-0.03333333333333333,-0.03333333333333333,0.0,0.3093969872615047,0.3333333333333333,-0.125,0.06666666666666667,0.5795420457954205,0.28627872467041016,109.0,0.54268041265922,-0.1383399209486166,1.0,False,SECONDARY_ROBUSTNESS_JUDGE,
SECONDARY_ROBUSTNESS_JUDGE,deepseek-v4-pro,B_FAIRNESS,severity,"P001,P002,P003",COMPUTED,,120,40,-0.041666666666666664,-0.041666666666666664,0.0,0.26352313834736496,0.0,-0.13333333333333333,0.03333333333333333,0.46095390460953906,1.0,16.0,0.4169593730509694,-0.28888888888888886,1.0,False,SECONDARY_ROBUSTNESS_JUDGE,
SECONDARY_ROBUSTNESS_JUDGE,deepseek-v4-pro,B_FAIRNESS,empathy,"P001,P002,P003",COMPUTED,,120,40,0.016666666666666666,0.01666666666666667,0.0,0.33715755022721006,0.3333333333333333,-0.09166666666666666,0.11666666666666665,0.7410258974102589,0.8238029479980469,93.5,0.6509996295426622,0.10952380952380952,1.0,False,SECONDARY_ROBUSTNESS_JUDGE,
SECONDARY_ROBUSTNESS_JUDGE_SENSITIVITY_WITHOUT_P002,gpt-5.4-2026-03-05,A_BASE,severity,"P001,P003",COMPUTED,,80,40,0.0,0.0,0.0,0.2773500981126146,0.0,-0.0875,0.0875,1.0,1.0,22.5,1.0,0.0,1.0,False,SECONDARY_ROBUSTNESS_JUDGE_SENSITIVITY_WITHOUT_P002,
